id,instrumentid,footprint
41,38,"POLYGON ((-0.61494 0.49179, -0.61557 0.3422, -0.31633 0.34186, -0.31579 0.49155, -0.61494 0.49179))"
42,38,"POLYGON ((-0.30438 0.49166, -0.30489 0.34196, -0.00506 0.34146, -0.00469 0.4912, -0.30438 0.49166))"
43,38,"POLYGON ((0.00664 0.49092, 0.0063 0.34118, 0.30611 0.34049, 0.30632 0.49018, 0.00664 0.49092))"
44,38,"POLYGON ((0.3177 0.49032, 0.31741 0.34064, 0.61661 0.33955, 0.61681 0.48912, 0.3177 0.49032))"
45,38,"POLYGON ((0.62825 0.48899, 0.6281600000000001 0.33941, 0.92666 0.3385, 0.92685 0.48802, 0.62825 0.48899))"
46,38,"POLYGON ((-0.9252 0.32766, -0.92567 0.17808, -0.62717 0.17773, -0.62666 0.32745, -0.9252 0.32766))"
47,38,"POLYGON ((-0.61555 0.32727, -0.61612 0.17754, -0.31682 0.17703, -0.31632 0.3269, -0.61555 0.32727))"
48,38,"POLYGON ((-0.30499 0.32709, -0.30545 0.17722, -0.00553 0.17667, -0.00515 0.32659, -0.30499 0.32709))"
49,38,"POLYGON ((0.00627 0.32666, 0.00584 0.17674, 0.30575 0.17594, 0.30609 0.3258, 0.00627 0.32666))"
50,38,"POLYGON ((0.31762 0.32578, 0.31731 0.17591, 0.61658 0.17504, 0.61682 0.32476, 0.31762 0.32578))"
51,38,"POLYGON ((0.62801 0.32471, 0.62778 0.175, 0.92623 0.1741, 0.9265099999999999 0.32367, 0.62801 0.32471))"
52,38,"POLYGON ((-1.08091 0.16329, -1.08128 0.01372, -0.78281 0.01317, -0.78241 0.16289, -1.08091 0.16329))"
53,38,"POLYGON ((-0.7710900000000001 0.16305, -0.77154 0.01334, -0.47266 0.01272, -0.47223 0.16262, -0.7710900000000001 0.16305))"
54,38,"POLYGON ((-0.46085 0.16246, -0.46131 0.01256, -0.16159 0.01188, -0.16117 0.16189, -0.46085 0.16246))"
55,38,"POLYGON ((-0.14963 0.16201, -0.14998 0.012, 0.15006 0.01146, 0.15039 0.16147, -0.14963 0.16201))"
56,38,"POLYGON ((0.16153 0.16121, 0.1612 0.01121, 0.46089 0.01064, 0.46119 0.16052, 0.16153 0.16121))"
57,38,"POLYGON ((0.47276 0.16047, 0.47245 0.01059, 0.77128 0.009990000000000001, 0.77158 0.15968, 0.47276 0.16047))"
58,38,"POLYGON ((1.08091 0.16329, 1.08128 0.07479, 0.78281 0.07486, 0.78241 0.16289, 1.08091 0.16329))"
59,38,"POLYGON ((-1.08144 -0.00096, -1.08189 -0.15053, -0.78337 -0.15141, -0.7829700000000001 -0.00171, -1.08144 -0.00096))"
60,38,"POLYGON ((-0.7716499999999999 -0.00159, -0.77199 -0.1513, -0.47313 -0.15214, -0.47277 -0.00224, -0.7716499999999999 -0.00159))"
