  phase           F115W           F150W           F200W           F560W  
  36.25    27.866301404   27.2628505662   24.6524455324   24.9889061823  
  36.75   28.1503592512   27.4001405831   24.7747670275   25.0267520571  
  37.25   27.9748549986   27.5080864896   24.7612570166   25.0203743511  
  37.75   27.9828184287   27.4576817484   24.8269802247   25.3299952388  
  38.25   28.1574595126   27.5697629286   24.8590872171   25.2863078036  
  38.75   28.2597182111   27.7628349838   24.9569472609   25.3975189651  
  39.25   28.4384866655   27.8142920816   24.9633182944   25.5250200944  
  39.75    28.300092059   27.7008810172   25.0028285683   25.5137224771  
  40.25   28.3021990943   27.8653015123   25.0209496207   25.4255506506  
  40.75   28.3075514965   27.8568898872   25.1318716866   25.4843667827  
  41.25   28.4440401026   28.0301948225   25.1109958504   25.4987309026  
  41.75   28.5214877228   27.9122109728   25.1189591923   25.4678064893  
  42.25   28.5212186708   28.0108845504    25.199062239   25.5666478531  
  42.75   28.5271713654   28.0518309307   25.2233661614   25.6183774612  
  43.25   28.7895142379   28.1344547165   25.3084407284   25.5959154775  
  43.75   28.5397929844   28.0526002306   25.3288980085   25.6352845825  
  44.25   28.4828938379   28.1269100847    25.454399715   25.4777209447  
  44.75   28.6630924692   28.0979276037   25.4652231613    25.551965991  
  45.25   28.7395887281    28.110201685   25.6121706986   25.5631964481  
  45.75    28.595422991   28.2117881754    25.640550685   25.4716208505  
  46.25   28.3906834886   28.2817609032   25.7477022699   25.4350889053  
  46.75   28.7159355751   28.3044317834   25.7576060822   25.5204121068  
  47.25   28.5578321854   28.3752871883   25.8123557212   25.5038916044  
  47.75   28.5618820678   28.1966929434   25.8398207162   25.4250832945  
  48.25   28.5493291598   28.2723065356   25.8950701051   25.4497161653  
  48.75   28.4304082115   28.3298555803   25.8565241184      25.3436114  
  49.25   28.6215368591   28.1071579739   25.9891454897   25.2871376539  
  49.75   28.5423483483   28.2446188407   26.0701307464   25.2686714512  
  50.25    28.513511252   28.3233857911   26.0751845246   25.2133853047  
  50.75   28.7074034578   28.2975230588   26.2496643302   25.1537451539  
  51.25   28.6504714354   28.2795514909   26.2812439582   25.0101000426  
  51.75   28.6244002466   28.3573823793    26.437863917   24.9842159217  
  52.25   28.9132679366   28.3929048012   26.6348003335   24.9479947179  
  52.75   28.9090620182   28.4988257204   26.6978560131   24.8965000389  
  53.25   28.9329724942   28.6333045655   26.8794033543    24.806558853  
  53.75   29.0185501721   28.6229646592   26.9260478957   24.8855654088  
  54.25   29.1495249016   28.8186471762   27.0574782773   24.8328910525  
  54.75   29.1785128016   28.6409307509   27.1121865854   24.7613520404  
  55.25   29.1497889632   28.7671731808   27.1647004176   24.7894012781  
  55.75   29.0617961282   28.8859399637   27.2009834126   24.7169136622  
  56.25   29.5174209918   28.9993984197    27.437820238   24.6763269403  
  56.75   29.4589695291   28.9137181912   27.5499583431   24.6681918673  
  57.25   29.3560684059   28.9614702199   27.5496944071   24.6273155631  
  57.75   29.4534751342   29.3824031075   27.5841910537   24.6714534254  
  58.25   29.8528999615   29.3130691838    27.827877474   24.6045814921  
  58.75   30.0214043103   29.3743423132    27.901075449   24.6159069492  
  59.25   29.8514059758   29.4039989377   27.9204214202   24.5859618052  
  59.75   29.9905457396   29.3648980795   28.0494520139   24.6071012321  
  60.25   30.2897068545   29.7163539553   28.1921280524    24.596750211  
  60.75   30.5475252717   30.0057332222   28.2364994503   24.5655034725  
  61.25   30.3893285031    30.026201304   28.4493258446   24.5702367115  
  61.75   30.2374482462   29.7507508913     28.39619014   24.5314848824  
  62.25   30.4595677259   30.1379704092   28.5006359176    24.540395858  
  62.75   30.5649807989   30.1928654031   28.7833299006   24.5566629702  
  63.25   30.9399194896   29.9456014575   28.6194015656    24.563353099  
  63.75   30.6254151032   30.2766942118   28.7656452765   24.5439565201  
  64.25   30.8440189946   30.4157219991   28.7124090423   24.5411783593  
  64.75   30.9118135024   30.8060203303   28.8627805115   24.5433384387  
  65.25   31.6924110713   30.8548539093   29.2186884552   24.6034410431  
  65.75    31.535761571   31.0682407034   29.4543182829   24.5475714604  
  66.25   31.4012820378   31.0106187904   29.3041329465   24.5707392273  
  66.75   31.6776233456   31.3615001473   29.4608050928   24.5526183309  
  67.25   31.5790254072   31.2375744365   29.6280056417   24.5659531015  
  67.75   32.1558057601   31.2796146757   29.8709977942   24.6015284119  
  68.25   32.1848645587   31.4322597618   30.1465254912   24.6171609317  
  68.75   33.3836506048   31.7180305474   30.0172616538   24.6126594118  
  69.25   33.0311551325   31.8763720372   30.0439611308   24.6068806092  
  69.75   32.6684638745   32.1656526386   30.2854122903   24.6180335523  
  70.25   32.5458532537   32.1571947923   30.4535885169   24.6386240608  
  70.75   32.8970660914   32.4506774871    30.251395618   24.6506091245  
  71.25   32.8345692801   33.1364577606    30.648594693   24.6696028326  
  71.75    35.109691777   34.2081473032    30.804890655   24.6609843186  
  72.25             nan   33.6928309901   30.9519498917   24.6653567354  
  72.75   34.5341955513    32.708995639   31.4924391568   24.7046737353  
  73.25   34.4911754666   33.2495763799   31.2076062993   24.6967772335  
  73.75   35.1929766935    35.008586667   31.4171392759   24.7159331292  
  74.25   35.1119790934   34.3672592506   32.0567316701   24.7574549295  
  74.75             nan             nan   31.2639743972   24.7640226777  
  75.25             nan   34.3890498219   31.0178676419   24.7607060093  
  75.75             nan             nan     31.10450492   24.7597098952  
  76.25             nan             nan   31.4194400992   24.7736312382  
  76.75             nan             nan   31.4051779841   24.7892240725  
  77.25             nan             nan   31.7148715131   24.7819419806  
  77.75             nan             nan   31.6497845873   24.8061037015  
  78.25             nan   34.3378178492   31.4902666959   24.7982561139  
  78.75             nan   35.1458687329   31.1581796765   24.8336668912  
  79.25             nan    35.226069082   31.3493917325   24.8152690636  
  79.75             nan             nan   31.0798244006   24.8814684016  
  80.25             nan   35.3058265264   31.9591824512   24.8755382884  
  80.75             nan             nan   31.4260281205   24.8806640737  
  81.25             nan   35.2435505253   31.4160240724   24.9070321674  
  81.75             nan   33.9917044525   31.2672889541   24.8946757888  
  82.25             nan   34.4593019826   31.5113076565   24.9205240318  
  82.75             nan             nan   31.3686340231   24.9156848247  
  83.25             nan             nan   31.3488566149   24.9475828024  
  83.75             nan   35.2562879317   31.6746239781    24.966636243  
  84.25             nan   33.7526806496   31.6644749359     24.98378829  
  84.75             nan             nan    31.527629983   25.0288717307  
  85.25             nan             nan   31.8130797847   25.0094252159  
  85.75             nan    35.358724769   31.5994779627   24.9916425319  
  86.25             nan   42.2213026866   31.6193543005   25.0090013167  
  86.75             nan   35.2848926623   31.5460326112   25.0062637567  
  87.25             nan    35.329098085   31.7549868477   25.0470231094  
  87.75             nan             nan   32.2079180115   25.0568019476  
  88.25             nan             nan   31.5507314096   25.0524373554  
  88.75             nan   35.4049494572   31.6745682705   25.0946819538  
  89.25             nan   35.3493030906   31.6095104799   25.0839820229  
  89.75             nan   34.6764223518   31.8308663822   25.1151684381  
