  phase           F115W           F150W           F200W  
  39.25   29.1194838949   28.5866246598   25.4765715348  
  39.75   29.0533022453   28.5426500016   25.5328273286  
  40.25   29.0342820133   28.7362489239   25.5792869358  
  40.75   29.1445893299   28.6887890579   25.6437472261  
  41.25   29.1696258135   28.8026738898   25.6045638775  
  41.75   29.2852457396   28.7946414387   25.6215940158  
  42.25   29.3280838801   28.9023676446   25.6794093044  
  42.75   29.4038111384   28.9004380162   25.6903556209  
  43.25   29.5562366331   28.9442941676   25.7446911159  
  43.75   29.4009829248     28.90452483   25.7764039466  
  44.25   29.3282229308   29.0113906218   25.8805437609  
  44.75   29.4936619265   28.9613107119   25.8807367552  
  45.25   29.5672268375   28.9738371203   25.9644990314  
  45.75   29.3065202193   29.0505642345   26.0621071369  
  46.25   29.2612918516   29.1351594904   26.1753272043  
  46.75   29.4953140414   29.1077305003    26.227824418  
  47.25   29.3975227033   29.2152015044   26.2856413168  
  47.75   29.4022259098   29.0394273719   26.3192160408  
  48.25    29.293746191    29.119000817    26.371383183  
  48.75   29.2189862192   29.1947090824   26.3808987193  
  49.25   29.3252873556   28.9689583912   26.4935317535  
  49.75   29.3419038012   29.1626086611   26.5644460352  
  50.25   29.3212657119   29.2236910312   26.5378634958  
  50.75   29.4239049668   29.2344812234   26.7176545722  
  51.25   29.3753662775   29.2007742129   26.7971524999  
  51.75   29.3955991997   29.2482327178   26.9070065169  
  52.25   29.6279443919   29.3234875169   27.0070221684  
  52.75   29.6597038413   29.3880297116   27.0584201493  
  53.25   29.7464811035    29.638447264   27.2858553735  
  53.75   29.8101427514   29.6081841909   27.4051052752  
  54.25   29.9402400179   29.8416429841   27.5265367614  
  54.75   30.0354468005   29.6117314103   27.6407235304  
  55.25    29.968284454   29.6914170039   27.6986805224  
  55.75   29.9290343162   29.8317855299   27.6775343033  
  56.25   30.3285107556   29.9618220579   27.8523839003  
  56.75   30.2198114531   29.8509371432     28.04068706  
  57.25   30.2228010319   29.9984917021   28.2042032457  
  57.75   30.3276207875   30.3911377672   28.2174846573  
  58.25   30.7276708246   30.2549640605   28.3139469887  
  58.75   30.8290204885   30.4370043394   28.4530009443  
  59.25   30.6688205915   30.4063016114   28.4210083907  
  59.75   30.7902047783   30.3593057129   28.5284201268  
  60.25   31.0141056509   30.7854893354   28.6672346009  
  60.75   31.2182869034   31.0637124512   28.7829708401  
  61.25   31.0860756175   30.9920268076   29.0619203432  
  61.75   31.0104155596   30.7853851016    29.070630051  
  62.25   31.3923467214   31.1346109535   29.1007241558  
  62.75   31.4076424481   31.1598847654   29.3212508475  
  63.25   31.7123709769    31.047051398   29.1790849274  
  63.75   31.4857416331   31.2265252463   29.3198392616  
  64.25    31.627504859   31.3211274633   29.4146726346  
  64.75   31.8276445528   31.7766595342   29.6440364087  
  65.25   32.4129893015   31.8751490618   29.9158474412  
  65.75   32.1934939527   32.1122939133   29.9440785413  
  66.25   32.2263397987   31.9777600666   29.8080566191  
  66.75   32.2963232243   32.2423638514   30.0677793286  
  67.25   32.4825052311   32.2193769528   30.2744404493  
  67.75   32.8259377613   32.0601698322   30.4733974506  
  68.25   32.9625396852   32.4346540679     30.65843291  
  68.75   33.7755999476   32.6981185795   30.7072346624  
  69.25   33.4725812226   33.0281470577   30.7464967402  
  69.75   33.5181758479   33.0265189686    30.959104962  
  70.25   33.7483353955    33.240973664   31.1405330352  
  70.75   33.5992444922   33.1906994937    30.963385308  
  71.25   33.7667659194   35.1609682863   31.3578993137  
  71.75   34.9901723698   34.8072794752   31.3881168408  
  72.25    37.698428443    34.621324627   31.6139495235  
  72.75    36.081699044   33.5778093383   31.9708744521  
  73.25   35.9791883636   34.1889000311   31.8262924869  
  73.75   36.1392007429   35.9481099566   32.1315366798  
  74.25   36.0472747649   34.9354548037   32.4719933025  
  74.75             nan   35.7282502752   31.7998528094  
  75.25             nan   34.8916872405   31.7269890872  
  75.75             nan             nan   31.9623253778  
  76.25             nan             nan   32.0627952162  
  76.75             nan             nan   32.0189578855  
  77.25             nan             nan   32.2845694571  
  77.75             nan   36.3114049922   32.3331551713  
  78.25             nan   35.2780332473   32.1602584932  
  78.75             nan   36.0866734252   31.8158047968  
  79.25             nan   36.1648883828   31.9790944006  
  79.75             nan   35.6665348923   31.9383605322  
  80.25             nan   35.3124970853   32.4591095901  
  80.75             nan             nan   32.0428655687  
  81.25             nan   35.5368368589   32.0176845535  
  81.75             nan   34.9322578751   31.8757759277  
  82.25             nan   35.4000807358    32.284412217  
  82.75             nan             nan   32.0580278963  
  83.25             nan             nan   32.0635937762  
  83.75             nan   36.1971196466   32.3793825555  
  84.25             nan   34.6930020946   32.3952082405  
  84.75             nan             nan    32.232717743  
  85.25             nan             nan   32.6359695908  
  85.75             nan   36.2994709851   32.2579546391  
  86.25             nan   36.1743449666   32.2071390631  
  86.75             nan   36.2255446368   32.1673244657  
  87.25             nan   36.2694704565   32.4992853494  
  87.75             nan             nan   32.3940230062  
  88.25             nan             nan    32.308353051  
  88.75             nan     35.72269226   32.3350414779  
  89.25             nan   36.2900493067   32.2669372204  
  89.75             nan   35.6160690686   32.3128492774  
