,lsstg,lssti,lsstr,lsstu,lssty,lsstz
56,-7.50367187697468,-11.130325668278955,-9.744442766549042,-4.613207364083533,-12.433896398092465,-11.966080404405199
57,-7.418899593404814,-11.047125157270175,-9.620101966580227,-4.620649862079878,-12.39308019964528,-11.915253881949628
58,-7.236167771181444,-10.996483330736899,-9.530265503905373,-4.5173506954976945,-12.34029863442358,-11.881751581062531
59,-7.177160648247999,-10.920067782668848,-9.448596150918373,-4.050869118881243,-12.240165343963007,-11.802812226007077
60,-6.960975887664801,-10.788233183401356,-9.32825962420167,-3.956347670211817,-12.190075134920955,-11.707315732768782
61,-6.875145943146816,-10.783263004891573,-9.218496138681362,-3.3893840446119663,-12.209778256713546,-11.745808096407186
62,-6.757507536087256,-10.684264629129627,-9.170701097619556,-3.3474866518461526,-12.101527229443763,-11.63624461079856
63,-6.661141074323935,-10.608262236420975,-9.061893031392316,-3.887687838156717,-12.10915327079359,-11.587699158820877
64,-6.480330994533043,-10.559003206631473,-8.9219337024494,-3.0673550806516356,-12.06140082457255,-11.491950072355406
65,-6.393218939265498,-10.483399436624945,-8.846411929599197,-2.833280852685868,-12.002757256414299,-11.460508930424249
66,-6.268252337002474,-10.41437013833664,-8.831158644662384,-2.7442565840870086,-11.968748573927456,-11.400900019258701
67,-6.223287461392476,-10.371711985234072,-8.704817732543779,-2.6677637156656786,-11.913265219367288,-11.376474202620024
68,-6.056643738224925,-10.25464785787451,-8.500209054952473,-2.5204284499996517,-11.858750672278273,-11.278869121406093
69,-5.861174498921398,-10.220535952230744,-8.512805291510123,-2.566857626253847,-11.831257458353084,-11.215730133919369
70,-5.6445649487129215,-10.143059254698969,-8.384089893232398,-2.3921494013229436,-11.770088749914006,-11.234045895271457
71,-5.490995769053283,-10.088983227620238,-8.401612958611459,-2.3254663945730933,-11.731631797157952,-11.17357056001276
72,-5.495545891732511,-10.007570186231693,-8.146718632913618,-2.106741056936688,-11.692982493680308,-11.127103709686324
73,-5.166076233953444,-9.936693993791065,-8.09732800866724,-1.9438391727908182,-11.688483588217498,-11.058823518453183
74,-5.058981281982647,-9.86385879350807,-8.048834215789228,-1.7816487794882072,-11.667585109477297,-11.02321589765767
75,-5.1418372899105425,-9.847202561597687,-7.9469709620273346,-1.7188362035279956,-11.59017488115885,-10.978359505252126
76,-5.337225648656821,-9.835952981206464,-7.896113920570382,-1.6509208357017593,-11.563392769556506,-10.908691455179433
77,-4.929406562639072,-9.71563661091396,-7.853657665681231,-1.66985614936026,-11.505964347837425,-10.841570283079921
78,-4.75187612436781,-9.610819337154844,-7.750896713064175,-1.7087118892784245,-11.46810357645727,-10.788187876055325
